PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Aaron Gordon;ORL;24;6'8;32.5;3.7;6.3;0.587;0.5;2.2;25;1.2;3.7;31.8;0.6;0.9;66.1;14.4;1.7;5.9;3.7;1.6;0.8;0.6;4.8;3.2;2.6;20.5;10.4
Aaron Holiday;IND;23;6'0;24.5;1.8;3.8;0.474;0.5;1.4;34;1.4;3.5;41.575;0.4;0.5;87.5;9.5;0.3;2;3.4;1.3;0.8;0.2;7.6;0;2;18.2;7.8
Abdel Nader;OKC;26;6'5;15.8;1.3;2.2;0.591;0.1;0.3;37.5;0.9;2.5;39.675;0.4;0.5;80.8;6.3;0.3;1.6;0.7;0.8;0.4;0.4;3;0;2.2;16.4;7.2
Adam Mokoka;CHI;21;6'5;10.2;0.5;1.1;0.455;0;0.1;0;0.7;1.7;40.2;0;0;0;2.9;0.6;0.3;0.4;0.2;0.4;0;1.1;0;1.4;11;2.3
Admiral Schofield;WAS;23;6'5;11.2;0.4;0.8;0.5;0.1;0.2;66.7;0.8;2.4;34.45;0;0.1;50;3;0.2;1.2;0.5;0.2;0.2;0.1;0.4;0.2;1.7;11.8;3.5
Al Horford;PHI;34;6'9;30.2;2.2;4.1;0.537;1;2.3;44.6;1.5;4.3;31.6;0.1;0.1;70;11.9;1.5;5.3;4;1.2;0.8;0.9;1.4;4.3;4;17.3;11.2
Al-Farouq Aminu;ORL;29;6'8;21.1;0.8;2.5;0.32;0.1;0.3;33.3;0.5;1.9;28.225;0.1;0.1;50;4.3;1.3;3.5;1.2;0.9;1;0.4;2.3;1;1.8;12.7;6.3
Alec Burks;PHI;28;6'6;26.6;2.2;4.9;0.449;0.9;2.2;41.3;1.8;4.6;41.75;1.6;1.8;89.9;15;0.7;3.5;2.9;1.4;0.9;0.3;6.6;0.4;2;23;11.9
Alen Smailagic;GSW;19;6'10;9.9;1.1;1.6;0.688;0.1;0.3;25;0.2;1.1;25;0.4;0.4;83.3;4.2;0.7;1.2;0.9;0.8;0.2;0.3;1.6;1.3;0.9;17.5;8.9
Alex Caruso;LAL;26;6'5;18.4;1.1;2.2;0.5;0.1;0.5;22.6;0.6;2;32.8;0.4;0.5;75;5.5;0.3;1.7;1.9;0.8;1.1;0.3;3.2;0;1.4;13.6;7.2
Alex Len;SAC;27;7'0;17.6;2.9;4.6;0.63;0;0.1;14.3;0.3;1.2;30.55;0;0;50;8;1.8;4;0.9;1;0.4;0.9;0.4;0.8;1;17.6;11.8
Alfonzo McKinnie;CLE;27;6'7;14.8;1.4;2.3;0.609;0.1;0.4;31.3;0.5;1.8;21.975;0.1;0.1;50;4.6;0.9;1.9;0.4;0.7;0.6;0.2;1.5;0.1;1.5;14.7;4.7
Alize Johnson;IND;24;6'7;6.9;0.6;1.2;0.5;0;0.1;0;0.3;0.8;33.325;0.1;0.1;50;2;0.9;1.9;0.4;0.4;0.2;0.1;0.9;0.1;0.5;13.3;9.8
Allen Crabbe;MIN;28;6'5;17.6;0.5;1;0.5;0.2;0.6;40.9;1;3.3;33.8;0.1;0.1;100;4.6;0.3;1.8;0.9;0.5;0.4;0.1;1.6;0;2.9;12.2;4.3
Allonzo Trier;NYK;24;6'4;12.1;0.7;1.3;0.538;0.6;0.9;68.2;0.9;2.4;36.15;0.2;0.3;66.7;6.5;0.3;1;1.2;0.9;0.1;0.2;3.1;0;1.1;20.8;9.2
Amile Jefferson;ORL;27;6'9;4.1;0.4;1;0.4;0;0.1;0;0;0;0;0.1;0.2;25;0.8;0.6;0.7;0.2;0.2;0.1;0.2;0.2;0.2;0;12.9;5.1
Amir Coffey;LAC;23;6'7;8.8;1;1.8;0.556;0.2;0.5;37.5;0.5;1.4;37.525;0.1;0.1;50;3.2;0.2;0.7;0.8;0.4;0.3;0.1;1.8;0;0.8;17.4;4.7
Andre Drummond;CLE;26;6'10;33;7.1;12.8;0.555;0.1;0.3;27.8;0;0.6;20.4;0.3;0.6;53.1;17.7;4.4;10.8;2.7;3.6;1.9;1.6;3.5;4.7;0.5;25.3;15.3
Andre Iguodala;MIA;36;6'6;19.9;0.9;1.4;0.643;0.2;0.6;41.7;0.6;2.2;28.15;0;0;0;4.6;0.8;2.9;2.4;1.2;0.7;1;1.1;0.7;1.9;12.1;7.4
Andre Roberson;OKC;28;6'7;12.4;0.7;2.1;0.333;0;0;0;0.4;2.1;16.65;0;0;0;2.9;1;2.9;0.6;0.3;0.1;0.4;0.9;0.1;1.6;14.5;5.3
Andrew Wiggins;GSW;25;6'7;34.4;5.2;9.4;0.553;0.9;2.5;33.8;2.1;6.2;31.775;1.7;2.2;78.8;21.8;1.2;3.9;3.7;2.4;0.8;1;14.1;1;3.6;26.9;10.4
Anfernee Simons;POR;21;6'3;20.7;1.3;2.9;0.448;0.6;1.5;42.1;1.2;3.3;33.05;0.6;0.7;84;8.3;0.4;1.8;1.4;0.9;0.4;0.1;3.7;0;2;18;5.5
Ante Zizic;CLE;23;6'10;10;1.7;3;0.567;0.2;0.3;57.1;0;0;0;0;0;0;4.4;0.8;2.2;0.3;0.5;0.3;0.2;0;1.2;0;16.8;10.1
Anthony Davis;LAL;27;6'10;34.4;6.3;10.1;0.624;1.4;4.1;34.9;1.2;3.5;35.475;1.1;1.3;88.5;26.1;2.3;7;3.2;2.5;1.5;2.3;3.6;8.8;3.1;28.4;17.9
